"block","item_no","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","ANSWER","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"orthogonal","96","tco5","tc","o","t5","khw2","kh","w","t2","diff","tco","khw","tc_kh","o_w","t5t2","tco_khw","t2t5","kh_tc","o_w","khw_tco"
"orthogonal","97","khw3","kh","w","t3","thia1","th","ia","t1","diff","khw","thia","kh_th","w_ia","t3t1","khw_thia","t1t3","kh_th","ia_w","khw_thia"
"orthogonal","98","wua1","w","ua","t1","khw2","kh","w","t2","diff","wua","khw","w_kh","ua_w","t1t2","wua_khw","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","99","tco2","tc","o","t2","wua1","w","ua","t1","diff","tco","wua","tc_w","o_ua","t2t1","tco_wua","t1t2","tc_w","o_ua","tco_wua"
"orthogonal","100","thia3","th","ia","t3","khw2","kh","w","t2","diff","thia","khw","th_kh","ia_w","t3t2","thia_khw","t2t3","kh_th","ia_w","khw_thia"
"orthogonal","101","thia3","th","ia","t3","wua3","w","ua","t3","same","thia","wua","th_w","ia_ua","t3t3","thia_wua","t3t3","th_w","ia_ua","thia_wua"
"orthogonal","102","thia1","th","ia","t1","tco1","tc","o","t1","same","thia","tco","th_tc","ia_o","t1t1","thia_tco","t1t1","tc_th","ia_o","tco_thia"
"orthogonal","103","khw3","kh","w","t3","tco1","tc","o","t1","diff","khw","tco","kh_tc","w_o","t3t1","khw_tco","t1t3","kh_tc","o_w","khw_tco"
"orthogonal","104","wua2","w","ua","t2","tco2","tc","o","t2","same","wua","tco","w_tc","ua_o","t2t2","wua_tco","t2t2","tc_w","o_ua","tco_wua"
"orthogonal","105","khw3","kh","w","t3","wua3","w","ua","t3","same","khw","wua","kh_w","w_ua","t3t3","khw_wua","t3t3","kh_w","ua_w","khw_wua"
"orthogonal","106","tco4","tc","o","t4","thia2","th","ia","t2","diff","tco","thia","tc_th","o_ia","t4t2","tco_thia","t2t4","tc_th","ia_o","tco_thia"
"orthogonal","107","thia3","th","ia","t3","wua3","w","ua","t3","same","thia","wua","th_w","ia_ua","t3t3","thia_wua","t3t3","th_w","ia_ua","thia_wua"
"orthogonal","108","wua5","w","ua","t5","tco1","tc","o","t1","diff","wua","tco","w_tc","ua_o","t5t1","wua_tco","t1t5","tc_w","o_ua","tco_wua"
"orthogonal","109","thia1","th","ia","t1","khw4","kh","w","t4","diff","thia","khw","th_kh","ia_w","t1t4","thia_khw","t1t4","kh_th","ia_w","khw_thia"
"orthogonal","110","tco1","tc","o","t1","khw5","kh","w","t5","diff","tco","khw","tc_kh","o_w","t1t5","tco_khw","t1t5","kh_tc","o_w","khw_tco"
"orthogonal","111","khw4","kh","w","t4","tco4","tc","o","t4","same","khw","tco","kh_tc","w_o","t4t4","khw_tco","t4t4","kh_tc","o_w","khw_tco"
