"block","item_no","ANSWER","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"orthogonal","17","same","wua5","w","ua","t5","tco5","tc","o","t5","wua","tco","w_tc","ua_o","t5t5","wua_tco","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","18","diff","khw1","kh","w","t1","thia5","th","ia","t5","khw","thia","kh_th","w_ia","t1t5","khw_thia","t1t5","kh_th","ia_w","khw_thia"
"orthogonal","19","diff","thia5","th","ia","t5","khw3","kh","w","t3","thia","khw","th_kh","ia_w","t5t3","thia_khw","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","20","same","wua2","w","ua","t2","thia2","th","ia","t2","wua","thia","w_th","ua_ia","t2t2","wua_thia","t2t2","th_w","ia_ua","thia_wua"
"orthogonal","21","same","tco4","tc","o","t4","thia4","th","ia","t4","tco","thia","tc_th","o_ia","t4t4","tco_thia","t4t4","tc_th","ia_o","tco_thia"
"orthogonal","22","diff","wua1","w","ua","t1","khw2","kh","w","t2","wua","khw","w_kh","ua_w","t1t2","wua_khw","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","23","same","thia5","th","ia","t5","wua5","w","ua","t5","thia","wua","th_w","ia_ua","t5t5","thia_wua","t5t5","th_w","ia_ua","thia_wua"
"orthogonal","24","same","tco3","tc","o","t3","thia3","th","ia","t3","tco","thia","tc_th","o_ia","t3t3","tco_thia","t3t3","tc_th","ia_o","tco_thia"
"orthogonal","25","diff","thia5","th","ia","t5","khw2","kh","w","t2","thia","khw","th_kh","ia_w","t5t2","thia_khw","t2t5","kh_th","ia_w","khw_thia"
"orthogonal","26","same","tco4","tc","o","t4","wua4","w","ua","t4","tco","wua","tc_w","o_ua","t4t4","tco_wua","t4t4","tc_w","o_ua","tco_wua"
"orthogonal","27","diff","tco4","tc","o","t4","thia2","th","ia","t2","tco","thia","tc_th","o_ia","t4t2","tco_thia","t2t4","tc_th","ia_o","tco_thia"
"orthogonal","28","diff","wua5","w","ua","t5","tco1","tc","o","t1","wua","tco","w_tc","ua_o","t5t1","wua_tco","t1t5","tc_w","o_ua","tco_wua"
"orthogonal","29","same","tco5","tc","o","t5","wua5","w","ua","t5","tco","wua","tc_w","o_ua","t5t5","tco_wua","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","30","same","thia4","th","ia","t4","khw4","kh","w","t4","thia","khw","th_kh","ia_w","t4t4","thia_khw","t4t4","kh_th","ia_w","khw_thia"
"orthogonal","31","diff","tco2","tc","o","t2","wua5","w","ua","t5","tco","wua","tc_w","o_ua","t2t5","tco_wua","t2t5","tc_w","o_ua","tco_wua"
"orthogonal","32","same","khw3","kh","w","t3","tco3","tc","o","t3","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","33","same","wua1","w","ua","t1","khw1","kh","w","t1","wua","khw","w_kh","ua_w","t1t1","wua_khw","t1t1","kh_w","ua_w","khw_wua"
"orthogonal","34","diff","thia1","th","ia","t1","khw4","kh","w","t4","thia","khw","th_kh","ia_w","t1t4","thia_khw","t1t4","kh_th","ia_w","khw_thia"
